연도,타율,득점,안타,홈런,루타,타점
2023,0.279,767,1364,93,1924,714
2023,0.276,726,1365,101,1934,673
2023,0.27,679,1321,98,1894,642
2023,0.265,672,1316,89,1846,621
2023,0.265,653,1289,69,1765,608
2023,0.263,636,1290,88,1808,603
2023,0.261,607,1323,61,1789,576
2023,0.26,658,1279,125,1915,611
2023,0.255,620,1238,100,1812,565
2023,0.241,604,1184,100,1719,568
2022,0.272,720,1361,113,1988,677
2022,0.27,663,1358,103,1946,627
2022,0.269,715,1325,118,1953,674
2022,0.267,605,1320,106,1897,570
2022,0.257,646,1260,105,1835,613
2022,0.255,638,1249,101,1786,592
2022,0.254,720,1245,138,1937,682
2022,0.254,631,1237,119,1824,588
2022,0.252,621,1250,94,1801,578
2022,0.245,564,1196,88,1715,520
2021,0.278,727,1393,107,2000,697
2021,0.268,738,1314,110,1913,698
2021,0.267,712,1292,133,1931,669
2021,0.265,719,1276,106,1835,673
2021,0.261,755,1278,185,2063,712
2021,0.261,702,1254,170,2001,670
2021,0.259,722,1262,91,1835,671
2021,0.25,654,1188,110,1750,621
2021,0.248,568,1198,66,1621,546
2021,0.237,599,1111,80,1598,554
2020,0.293,816,1477,125,2155,778
2020,0.291,888,1483,187,2358,845
2020,0.284,813,1432,163,2201,767
2020,0.277,802,1384,149,2142,760
2020,0.276,750,1366,131,2023,711
2020,0.274,724,1355,130,1995,692
2020,0.269,759,1332,127,2017,713
2020,0.268,699,1317,129,1939,658
2020,0.25,634,1212,143,1852,595
2020,0.245,551,1189,79,1645,523
2019,0.282,780,1405,112,2068,741
2019,0.278,674,1383,128,2068,639
2019,0.278,736,1364,84,1913,691
2019,0.277,650,1375,103,1911,615
2019,0.267,641,1316,94,1861,604
2019,0.264,605,1286,76,1800,567
2019,0.262,655,1290,117,1887,622
2019,0.256,607,1250,88,1769,562
2019,0.256,622,1245,122,1893,598
2019,0.25,578,1231,90,1759,545
2018,0.309,944,1601,191,2518,898
2018,0.295,865,1487,170,2299,823
2018,0.293,788,1487,148,2254,740
2018,0.289,821,1484,203,2416,792
2018,0.288,825,1481,165,2302,787
2018,0.288,776,1471,146,2208,732
2018,0.281,829,1403,233,2362,791
2018,0.275,729,1369,151,2099,668
2018,0.275,757,1382,206,2290,721
2018,0.261,660,1280,143,1978,629
2017,0.302,906,1554,170,2414,868
2017,0.294,849,1499,178,2343,812
2017,0.293,786,1489,149,2251,739
2017,0.29,789,1479,141,2229,748
2017,0.287,737,1445,150,2188,684
2017,0.285,743,1425,151,2162,697
2017,0.281,699,1390,110,1976,663
2017,0.279,757,1419,145,2181,703
2017,0.275,655,1360,119,2025,625
2017,0.271,761,1337,234,2291,733
2016,0.298,935,1504,183,2387,877
2016,0.293,813,1464,134,2198,765
2016,0.293,852,1492,142,2235,792
2016,0.291,753,1464,182,2282,715
2016,0.291,857,1457,169,2251,808
2016,0.29,786,1464,118,2108,744
2016,0.289,826,1478,142,2200,787
2016,0.288,777,1439,127,2112,732
2016,0.286,803,1429,170,2259,754
2016,0.276,672,1369,116,1953,639
2015,0.302,897,1515,176,2352,850
2015,0.298,904,1512,203,2465,855
2015,0.29,807,1436,140,2154,770
2015,0.289,844,1437,161,2259,802
2015,0.28,765,1393,177,2216,727
2015,0.273,670,1344,129,1982,633
2015,0.272,693,1323,145,1992,656
2015,0.271,717,1316,130,1962,667
2015,0.269,653,1331,114,1969,601
2015,0.251,648,1197,136,1872,602