연도,승리,세이브,이닝,삼진,자책점,WHIP
2023,86,37,1293.3 ,977,527,1.4 
2023,75,33,1281.3 ,1090,545,1.3 
2023,74,41,1284.7 ,1013,560,1.4 
2023,79,39,1287.0 ,968,564,1.4 
2023,73,33,1269.0 ,980,583,1.4 
2023,68,35,1272.3 ,1070,586,1.5 
2023,76,46,1288.3 ,974,626,1.5 
2023,58,20,1291.7 ,1037,628,1.4 
2023,58,33,1288.3 ,962,632,1.5 
2023,61,38,1278.3 ,899,654,1.5 
2022,87,43,1288.0 ,1031,476,1.3 
2022,80,37,1287.3 ,1074,502,1.3 
2022,80,48,1296.3 ,1010,546,1.3 
2022,88,45,1301.3 ,1023,560,1.3 
2022,67,25,1286.7 ,1168,557,1.4 
2022,70,38,1279.7 ,1042,597,1.4 
2022,66,34,1287.0 ,971,613,1.4 
2022,60,32,1279.3 ,977,632,1.5 
2022,64,34,1280.7 ,1199,633,1.5 
2022,46,25,1268.3 ,974,680,1.5 
2021,72,32,1272.3 ,1068,505,1.3 
2021,76,33,1264.0 ,1062,515,1.3 
2021,71,28,1269.3 ,1045,601,1.5 
2021,76,46,1259.0 ,1038,601,1.5 
2021,70,30,1263.3 ,900,605,1.5 
2021,67,33,1256.7 ,1055,634,1.5 
2021,49,21,1258.7 ,1011,650,1.5 
2021,66,25,1276.7 ,1012,684,1.5 
2021,58,36,1269.0 ,951,690,1.5 
2021,65,37,1271.0 ,1054,758,1.6 
2020,79,23,1285.7 ,1046,616,1.5 
2020,79,29,1292.7 ,1019,627,1.4 
2020,80,42,1280.3 ,950,624,1.4 
2020,81,33,1290.3 ,848,651,1.5 
2020,83,31,1296.7 ,1049,660,1.4 
2020,71,25,1277.3 ,1002,659,1.4 
2020,64,25,1272.3 ,931,676,1.5 
2020,73,33,1270.0 ,1038,724,1.5 
2020,46,21,1265.0 ,1019,742,1.6 
2020,51,20,1259.3 ,953,780,1.6 
2019,88,51,1292.3 ,1092,500,1.3 
2019,88,44,1283.7 ,860,500,1.3 
2019,86,39,1279.0 ,984,513,1.3 
2019,79,43,1283.3 ,953,551,1.4 
2019,73,32,1284.3 ,991,572,1.4 
2019,71,37,1277.0 ,848,608,1.4 
2019,60,29,1275.3 ,924,658,1.5 
2019,62,30,1264.0 ,976,653,1.5 
2019,58,28,1268.7 ,934,677,1.5 
2019,48,16,1271.0 ,1033,682,1.5 
2018,78,29,1274.7 ,1130,662,1.4 
2018,77,37,1274.0 ,1124,698,1.5 
2018,93,41,1288.7 ,1025,713,1.5 
2018,75,32,1282.0 ,1021,723,1.5 
2018,68,33,1285.3 ,1114,741,1.5 
2018,68,29,1268.7 ,1058,746,1.5 
2018,59,24,1274.3 ,1025,756,1.6 
2018,68,29,1283.7 ,1164,766,1.5 
2018,70,26,1270.7 ,1017,763,1.5 
2018,58,24,1264.0 ,1010,769,1.6 
2017,69,32,1279.0 ,1040,611,1.3 
2017,84,35,1288.0 ,956,627,1.5 
2017,80,39,1287.3 ,1096,652,1.4 
2017,79,32,1284.7 ,1097,673,1.4 
2017,87,33,1290.0 ,985,687,1.5 
2017,75,30,1270.7 ,940,709,1.5 
2017,69,40,1271.0 ,1005,710,1.5 
2017,61,31,1273.0 ,914,747,1.5 
2017,50,22,1256.0 ,913,803,1.6 
2017,55,27,1281.3 ,1063,837,1.6 
2016,93,36,1287.7 ,982,636,1.5 
2016,83,36,1286.3 ,1147,640,1.4 
2016,69,31,1274.0 ,945,689,1.5 
2016,77,38,1280.3 ,895,705,1.5 
2016,70,38,1276.0 ,965,705,1.6 
2016,71,34,1287.7 ,909,721,1.5 
2016,66,27,1266.3 ,1009,792,1.6 
2016,65,34,1282.3 ,935,804,1.6 
2016,66,24,1292.7 ,976,827,1.7 
2016,53,27,1273.0 ,980,838,1.7 
2015,84,37,1279.3 ,1057,605,1.3 
2015,64,25,1279.7 ,1063,657,1.4 
2015,88,34,1275.3 ,1194,665,1.4 
2015,69,31,1280.7 ,1149,670,1.5 
2015,67,32,1273.0 ,979,678,1.5 
2015,78,29,1286.0 ,1066,701,1.5 
2015,79,30,1286.0 ,1064,718,1.5 
2015,66,19,1281.3 ,1015,722,1.5 
2015,68,32,1279.7 ,920,727,1.6 
2015,52,16,1266.7 ,1046,782,1.7 